State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.85977	6.95694	8.77322	11.21822	14.77271	19.09974	24.19109	29.69746	35.17097	36.73659	39.95823	47.55210	49.25744	49.17936	46.21660	39.82674	31.57950	24.10068	18.50801	14.39055	11.34561
2	4.07288	4.65719	5.61373	7.73025	10.29257	14.22261	19.52471	25.82664	31.08113	35.70370	36.68621	30.71756	26.91303	22.78821	19.12652	15.36960	11.54343	8.44008	6.15909	4.70047	3.98631
3	2.05410	2.20777	2.47421	2.67541	2.96396	3.14859	3.14527	2.70748	2.14254	2.03752	1.84294	1.48364	1.30565	1.40404	1.57098	1.71580	1.92033	1.88385	1.82857	1.70696	1.59419
4	1.77617	1.89213	1.92890	1.94869	2.15799	2.38142	2.48041	2.61617	2.35597	1.76203	1.19637	1.12283	1.06061	0.95031	0.85980	0.88243	0.91920	0.94465	0.95313	0.95879	1.00404
5	5.38268	5.77147	5.86531	5.47318	4.60176	3.47227	2.41986	1.94728	1.71937	1.99421	2.02437	1.44119	1.61212	1.92717	3.65325	7.63496	12.56183	15.95701	17.15353	16.78820	15.39394
6	1.28481	1.13856	0.94592	0.78630	0.65263	0.55513	0.51188	0.46470	0.43797	0.42775	0.43246	0.42775	0.44583	0.46549	0.48357	0.53626	0.72890	1.14642	1.71806	2.37148	3.00524
7	0.76288	0.70317	0.64346	0.58792	0.52529	0.48144	0.43509	0.39417	0.36745	0.35826	0.35075	0.35826	0.36912	0.39042	0.40628	0.44261	0.49397	0.58207	0.69732	0.82426	0.95454
8	0.46425	0.46141	0.45793	0.45192	0.44528	0.43737	0.42915	0.41745	0.40859	0.40069	0.39341	0.39057	0.39120	0.39911	0.40638	0.41207	0.41808	0.42409	0.42820	0.43453	0.43389
9	0.83940	0.82022	0.79180	0.75358	0.69971	0.62985	0.54639	0.46101	0.39377	0.35576	0.33802	0.34212	0.35855	0.37965	0.40449	0.43473	0.46620	0.49618	0.52002	0.53964	0.55620
10	2.48034	2.58273	2.71839	2.81566	2.87325	2.85662	2.76063	2.56481	2.30116	1.92489	1.66636	1.61389	1.82890	2.13990	2.49698	2.79134	2.93725	3.06395	3.08315	3.02044	2.90781
