State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.74681	41.46838	7.18675	1.83994	2.95194	39.95535	23.14141	0.20539
2	0.70902	52.47415	6.45904	1.18262	2.84444	36.68733	16.04513	0.51301
3	2.77583	1.17039	1.43741	1.05725	1.58712	1.84300	2.13534	0.62598
4	1.08504	0.30435	1.07049	1.11791	1.36518	1.19640	1.59971	0.49299
5	0.91562	1.20992	2.02925	2.24552	2.02792	2.02443	5.54058	0.13110
6	3.90284	0.26156	1.18523	2.28136	0.87846	0.43248	0.86414	0.16176
7	7.34942	0.44023	3.86304	2.22270	3.28914	0.35076	0.56322	0.28751
8	9.70373	0.42473	0.49081	0.66546	0.61848	0.39343	0.44767	1.57420
9	70.41390	0.15596	0.59585	0.81600	0.72374	0.33804	0.57230	1.08021
10	2.39779	3.24454	1.37976	1.01311	1.44726	1.66641	2.69077	1.25471
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
