State (Emission order)	H3k4me1	H3k4me2	H2AFZ	H3k4me3	H3k9ac	H3k27ac	H3k79me2	H3k36me3	H3k9me3	H3k27me3
1	0.2711873579620967	0.97062558463868	0.6034968363769797	0.9896596001285299	0.7601519438852776	0.8026933308681173	0.585930978843604	0.040278519309549406	0.01500843023456498	0.014348357633374506
2	0.6373633213490403	0.9594789183673822	0.6869832042512115	0.6168372662782426	0.046476117679274696	0.06685609355350038	0.012468983347253975	6.627594743040773E-4	0.00925379932596045	0.13996844621763216
3	0.560681672617861	0.1728953869277176	0.20722335122804755	2.5115473574128654E-4	0.007395474608174958	0.056536192746090855	0.00552856373762973	0.007767408077994897	0.005677606187488964	0.0011914622816550865
4	0.7981921803326006	0.6682573912247497	0.34696795343366815	0.07570374932861676	0.24257883690012105	0.9184027950294343	0.011871558169256335	0.012005194654417968	0.0066292090199343515	1.1340500559765568E-4
5	0.7217198067098194	0.5951926578632406	0.022382098982629873	0.14468585935054673	0.07463728983246976	0.3085572004131579	0.8600076817533469	0.13637537782248516	0.0027761082349834834	1.505743933429383E-4
6	0.03234761252130582	0.0032348387934261224	6.655757921700187E-4	6.562446132192557E-5	0.004577651576101723	0.0056625264602441355	0.7338143661544407	0.13268484996726065	0.005960686372955542	2.705034085020251E-4
7	0.005711361383212906	1.552626560674344E-4	2.791374796508272E-4	9.273660238468588E-5	0.003659318492222636	0.0023005768512552927	0.04172213676373284	0.21517398929205167	0.0033853960481137423	1.3701391401762944E-4
8	1.5133549510210553E-4	8.682283865498967E-5	9.895851667506101E-4	7.888236344303415E-4	0.0028057318639501047	8.213273090626083E-5	1.5746363725262485E-4	0.0011841015316332256	0.10616835366770837	7.08335898313238E-4
9	3.9285770005097767E-4	1.6665413450563276E-7	0.005940318136432411	3.6681678208576765E-5	0.0015408454327537615	4.112855896737802E-5	2.5135283520121693E-4	6.941609012802067E-4	0.0018684355333966	0.0034534747992249386
10	0.009018743814998067	0.002400502173990091	0.0026755125008002313	4.90991655040842E-4	0.0020674038123841844	1.6192495964959257E-5	4.04129566053677E-5	4.8561908970429834E-5	0.0033662628305457906	0.1906310746246294
