State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8554728505550645	0.05289370721520167	0.0052974540802248156	0.018132872685494943	0.061257735149268355	0.0	4.328605252143763E-4	0.005123681862099565	0.001388837927431758	0.0
2	0.054749481910086585	0.7316504943221752	0.10960765387965898	0.001115048311457241	0.0015874196346939763	7.761415241695916E-5	6.992269006849001E-4	0.0031181567261056083	0.05408459067232187	0.04331031349039869
3	0.0014429170623324414	0.02604959747961779	0.6823256395214602	0.055993507297453705	0.001848937347353147	0.001337089839283867	0.014851220838084668	0.0019146383224856313	0.21373653959189373	4.999127000349216E-4
4	0.012731422807328899	4.194102407676153E-4	0.16063579687208468	0.7923975237101922	0.013021395075947751	3.157624845670683E-4	0.006677700451377002	0.0010879076597864147	0.012713080697948277	0.0
5	0.0487788397188708	0.0014485441223701765	0.006338217232199742	0.015390586089732185	0.7958548827469798	0.12301349330649976	0.009175436783347589	0.0	0.0	0.0
6	0.0	1.5232568555580143E-5	9.390507476392109E-4	8.332192546863623E-5	0.02870277564165221	0.9461057296355759	0.02356225750411875	1.0645876356007075E-4	4.8517321342926535E-4	0.0
7	5.1998838859923886E-5	8.04198038079621E-5	0.0062052520617060835	0.0010622957662438017	0.0010804877901921487	0.01237825181041689	0.9714337906424275	1.9829028126232284E-4	0.0075092130050834005	0.0
8	3.859630462188884E-4	2.1667451294497475E-4	6.141574614707015E-4	1.1600982108843876E-4	7.160555541330072E-7	4.157360310172587E-5	1.3708580840058186E-4	0.9934760982856371	0.0049102755957518675	1.0144580983158119E-4
9	1.4072437383579177E-5	5.864739451548294E-4	0.009522343186592685	2.109917052219878E-4	1.95426180949637E-6	3.1557349502120715E-5	7.82757324911855E-4	7.033681035018329E-4	0.9860271589563517	0.002119322729569787
10	0.0	0.010437672587865566	4.059329422654324E-4	0.0	0.0	0.0	0.0	2.603832121574835E-4	0.05015880447478025	0.9387372067829312
